"Pedido";"Tipo Ato";"Quantidade";"Data Pedido";"Data Referência";"Total Emolumento";"Total Base Cálculo";"Total Taxa";"Total Fundesp"
"14584830";"2144 - 63 A X - Escritura completa, sobre o valor econômico do ato - até R$ 65380,92";"3";"03/02/2026";"03/02/2026";"R$ 5.188,50";"R$ 5.188,50";"R$ 172,62";"R$ 518,85";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 155,66";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 311,31"
"14611270";"2145 - 63 A XI - Escritura completa, sobre o valor econômico do ato - até R$ 104609,47";"2";"09/02/2026";"09/02/2026";"R$ 4.546,46";"R$ 4.546,46";"R$ 115,08";"R$ 454,64";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 136,39";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 272,79"
"14608846";"2147 - 63 A XII - Escritura completa, sobre o valor econômico do ato - até R$ 156914,21";"1";"09/02/2026";"09/02/2026";"R$ 3.408,91";"R$ 3.408,91";"R$ 57,54";"R$ 340,89";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 102,27";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 204,53"
"14571291";"2151 - 63 A XIV - Escritura completa, sobre o valor econômico do ato - até R$ 392285,51";"1";"02/02/2026";"02/02/2026";"R$ 4.923,17";"R$ 4.923,17";"R$ 230,16";"R$ 492,32";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 147,70";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 295,39"
"14601618";"2152 - 63 A XV - Escritura completa, sobre o valor econômico do ato - até R$ 523047,35";"3";"05/02/2026";"05/02/2026";"R$ 17.040,84";"R$ 17.040,84";"R$ 690,48";"R$ 1.704,09";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 511,23";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 1.022,45"
"14611271";"2161 - 63 - 2a nota f- Escritura com mais de um contrato (contrato de menor valor) até R$ 15691,43";"1";"09/02/2026";"09/02/2026";"R$ 340,52";"R$ 340,52";"R$ 0,00";"R$ 34,05";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 20,43";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 10,22"
"14611273";"2162 - 63 - 2a nota g- Escritura com mais de um contrato (contrato de menor valor) até R$ 26152,37";"2";"09/02/2026";"09/02/2026";"R$ 862,90";"R$ 862,90";"R$ 0,00";"R$ 86,30";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 25,89";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 51,77"
"14570811";"2248 - 63 B - Escritura completa, sem valor econômico";"8";"02/02/2026";"02/02/2026";"R$ 1.514,32";"R$ 1.514,32";"R$ 460,32";"R$ 151,44";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 45,43";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 90,86"
"14595045";"2347 - 64 II - Procuração com finalidade ad judicia";"4";"04/02/2026";"04/02/2026";"R$ 230,12";"R$ 230,12";"R$ 79,96";"R$ 23,00";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 6,90";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 13,81"
"14561249";"2348 - 64 III - Procuração com finalidade ad negotia";"15";"02/02/2026";"02/02/2026";"R$ 1.419,30";"R$ 1.419,30";"R$ 299,85";"R$ 141,90";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 42,58";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 85,16"
"14570217";"2349 - 64 IV - Procuração com outras finalidades";"5";"02/02/2026";"02/02/2026";"R$ 371,05";"R$ 371,05";"R$ 99,95";"R$ 37,10";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 11,13";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 22,26"
"14600491";"2368 - 64 - 2a nota c1 – Substabelecimento de Procuração Ad Negotia";"1";"05/02/2026";"05/02/2026";"R$ 47,31";"R$ 47,31";"R$ 19,99";"R$ 4,73";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 1,42";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 2,84"
"14603865";"2428 - 69 - Averbação de qualquer natureza em livros ou arquivos";"1";"05/02/2026";"05/02/2026";"R$ 44,53";"R$ 44,53";"R$ 0,00";"R$ 4,45";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 1,34";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 2,67"
"14617629";"2429 - 70 I - Registro e arquivamento da firma";"3";"10/02/2026";"10/02/2026";"R$ 33,42";"R$ 33,42";"R$ 0,00";"R$ 3,33";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 1,00";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 2,01"
"14601876";"2429 - 70 I - Registro e arquivamento da firma";"32";"05/02/2026";"05/02/2026";"R$ 356,48";"R$ 356,48";"R$ 0,00";"R$ 35,52";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 10,69";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 21,39"
"14547521";"2429 - 70 I - Registro e arquivamento da firma";"32";"02/02/2026";"02/02/2026";"R$ 356,48";"R$ 356,48";"R$ 0,00";"R$ 35,52";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 10,69";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 21,39"
"14577167";"2429 - 70 I - Registro e arquivamento da firma";"32";"02/02/2026";"02/02/2026";"R$ 356,48";"R$ 356,48";"R$ 0,00";"R$ 35,52";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 10,69";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 21,39"
"14587285";"2429 - 70 I - Registro e arquivamento da firma";"32";"03/02/2026";"03/02/2026";"R$ 356,48";"R$ 356,48";"R$ 0,00";"R$ 35,52";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 10,69";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 21,39"
"14591382";"2429 - 70 I - Registro e arquivamento da firma";"32";"03/02/2026";"03/02/2026";"R$ 356,48";"R$ 356,48";"R$ 0,00";"R$ 35,52";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 10,69";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 21,39"
"14610276";"2429 - 70 I - Registro e arquivamento da firma";"32";"09/02/2026";"09/02/2026";"R$ 356,48";"R$ 356,48";"R$ 0,00";"R$ 35,52";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 10,69";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 21,39"
"14590130";"2430 - 70 II - Reconhecimento de firma em documento sem valor econômico";"140";"03/02/2026";"03/02/2026";"R$ 1.040,20";"R$ 1.040,20";"R$ 0,00";"R$ 103,60";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 31,21";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 62,41"
"14544610";"2430 - 70 II - Reconhecimento de firma em documento sem valor econômico";"140";"02/02/2026";"02/02/2026";"R$ 1.040,20";"R$ 1.040,20";"R$ 0,00";"R$ 103,60";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 31,21";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 62,41"
"14603857";"2430 - 70 II - Reconhecimento de firma em documento sem valor econômico";"140";"05/02/2026";"05/02/2026";"R$ 1.040,20";"R$ 1.040,20";"R$ 0,00";"R$ 103,60";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 31,21";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 62,41"
"14615720";"2430 - 70 II - Reconhecimento de firma em documento sem valor econômico";"56";"10/02/2026";"10/02/2026";"R$ 416,08";"R$ 416,08";"R$ 0,00";"R$ 41,44";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 12,48";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 24,96"
"14568725";"2432 - 70 IV - Reconhecimento de firma em contratos particulares relativos a bens imóveis, por assinatura";"50";"02/02/2026";"02/02/2026";"R$ 2.876,50";"R$ 2.876,50";"R$ 0,00";"R$ 287,50";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 86,30";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 172,59"
"14604090";"2432 - 70 IV - Reconhecimento de firma em contratos particulares relativos a bens imóveis, por assinatura";"7";"05/02/2026";"05/02/2026";"R$ 402,71";"R$ 402,71";"R$ 0,00";"R$ 40,25";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 12,08";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 24,16"
"14565786";"2433 - 71 I - Autenticação de cópias e fotocópias por página, ainda que reproduzindo mais de um documento";"50";"02/02/2026";"02/02/2026";"R$ 278,00";"R$ 278,00";"R$ 0,00";"R$ 28,00";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 8,34";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 16,68"
"14616839";"2433 - 71 I - Autenticação de cópias e fotocópias por página, ainda que reproduzindo mais de um documento";"4";"10/02/2026";"10/02/2026";"R$ 22,24";"R$ 22,24";"R$ 0,00";"R$ 2,24";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 0,67";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 1,33"
"14597959";"2442 - 98 - Certidões ou traslados (Tabelionato  de Notas)";"3";"04/02/2026";"04/02/2026";"R$ 172,59";"R$ 172,59";"R$ 59,97";"R$ 17,25";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 5,18";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 10,36"
"14599657";"2447 - Tabela XIII - Atos gratuitos de Tabelionatos de Notas";"1";"05/02/2026";"05/02/2026";"R$ 0,00";"R$ 0,00";"R$ 0,00";"R$ 0,00";"Funemp art. 15, V da Lei 19.191/15: R$ 0,00";"Funcomp art. 15, VI da Lei 19.191/15: R$ 0,00"
"14547355";"3080 - Apontamentos – Protocolização de títulos e outros documentos de dívidas para protestos";"45";"02/02/2026";"02/02/2026";"R$ 0,00";"R$ 0,00";"R$ 829,35";"R$ 0,00";"Funemp art. 15, V da Lei 19.191/15: R$ 0,00";"Funcomp art. 15, VI da Lei 19.191/15: R$ 0,00"
"14604508";"3081 - 93 I - Protesto completo de título de crédito, compreendendo apontamento, instrumento e seu registro, sobre o valor de até R$ 65,38";"3";"06/02/2026";"06/02/2026";"R$ 50,04";"R$ 50,04";"R$ 0,00";"R$ 5,01";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 1,50";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 3,00"
"14606949";"3082 - 93 II - Protesto completo de título de crédito, compreendendo apontamento, instrumento e seu registro, sobre o valor de até R$ 130,76";"1";"06/02/2026";"06/02/2026";"R$ 24,13";"R$ 24,13";"R$ 0,00";"R$ 2,41";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 0,72";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 1,45"
"14601616";"3083 - 93 III - Protesto completo de título de crédito, compreendendo apontamento, instrumento e seu registro, sobre o valor de até R$ 261,52";"3";"05/02/2026";"05/02/2026";"R$ 133,59";"R$ 133,59";"R$ 0,00";"R$ 13,35";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 4,01";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 8,02"
"14597546";"3084 - 93 IV - Protesto completo de título de crédito, compreendendo apontamento, instrumento e seu registro, sobre o valor de até R$ 392,29";"3";"04/02/2026";"04/02/2026";"R$ 205,98";"R$ 205,98";"R$ 0,00";"R$ 20,61";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 6,18";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 12,36"
"14577154";"3085 - 93 V - Protesto completo de título de crédito, compreendendo apontamento, instrumento e seu registro, sobre o valor de até R$ 523,05";"5";"02/02/2026";"02/02/2026";"R$ 547,40";"R$ 547,40";"R$ 0,00";"R$ 54,75";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 16,42";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 32,84"
"14577046";"3086 - 93 VI - Protesto completo de título de crédito, compreendendo apontamento, instrumento e seu registro, sobre o valor de até R$ 653,80";"5";"02/02/2026";"02/02/2026";"R$ 621,65";"R$ 621,65";"R$ 0,00";"R$ 62,15";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 18,65";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 37,30"
"14547400";"3087 - 93 VII - Protesto completo de título de crédito, compreendendo apontamento, instrumento e seu registro, sobre o valor de até R$ 1307,62";"10";"02/02/2026";"02/02/2026";"R$ 1.688,80";"R$ 1.688,80";"R$ 0,00";"R$ 168,90";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 50,66";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 101,33"
"14588398";"3088 - 93 VIII - Protesto completo de título de crédito, compreendendo apontamento, instrumento e seu registro, sobre o valor de até R$ 2615,24";"8";"03/02/2026";"03/02/2026";"R$ 1.826,16";"R$ 1.826,16";"R$ 0,00";"R$ 182,64";"Funemp art. 15, V da Lei 19.191/15 # 3.0%: R$ 54,78";"Funcomp art. 15, VI da Lei 19.191/15 # 6.0%: R$ 109,57"
